road_spectrum_ratio,cavity_ratio,edge_density,non_road_ratio,average_brightness,defect_type,location_type
8.96,2.59,40.56,81.55,93.13,Crack,Non-Road
78.27,9.13,8.75,9.68,74.82,Damage,Road
13.31,2.75,7.58,74.93,114.26,Damage,Non-Road
20.75,21.19,11.0,45.21,125.5,Pothole,Non-Road
15.02,21.37,15.26,60.27,120.49,Pothole,Non-Road
77.99,7.18,13.54,0.0,116.47,Damage,Road
73.45,10.49,8.21,6.42,121.16,Damage,Road
19.51,0.83,3.07,57.71,143.71,None,Non-Road
75.28,7.09,15.32,4.51,77.84,Damage,Road
7.84,16.87,11.44,57.61,109.41,Pothole,Non-Road
10.68,2.71,36.71,64.82,110.29,Crack,Non-Road
69.9,21.96,10.46,7.04,109.12,Pothole,Road
11.0,9.62,11.29,52.66,138.12,Damage,Non-Road
70.14,23.3,13.27,17.9,85.53,Pothole,Road
65.27,1.25,1.77,11.69,123.94,None,Road
18.41,22.65,14.75,69.39,40.91,Pothole,Non-Road
12.19,0.4,2.7,55.66,121.39,None,Non-Road
0.0,1.28,0.66,75.09,71.05,None,Non-Road
70.92,5.49,7.93,11.71,89.17,Damage,Road
13.22,29.74,14.18,66.36,48.13,Pothole,Non-Road
2.02,7.26,14.64,66.48,76.26,Damage,Non-Road
12.78,0.0,28.97,78.57,125.42,Crack,Non-Road
59.06,15.07,15.66,11.39,128.77,Pothole,Road
7.14,6.24,12.77,84.91,89.9,Damage,Non-Road
14.22,7.86,9.3,68.64,100.9,Damage,Non-Road
79.02,0.66,1.37,9.56,126.8,None,Road
9.61,18.79,16.83,61.27,159.74,Pothole,Non-Road
72.89,7.52,12.34,6.2,21.29,Damage,Road
69.34,0.2,27.19,10.19,99.75,Crack,Road
12.66,0.61,1.8,57.53,157.25,None,Non-Road
21.79,0.8,0.0,69.03,109.22,None,Non-Road
21.52,21.41,11.56,58.89,133.06,Pothole,Non-Road
9.95,1.28,0.92,72.49,89.08,None,Non-Road
63.67,0.79,1.66,3.6,115.0,None,Road
63.17,26.49,16.09,14.02,156.7,Pothole,Road
71.94,7.92,5.14,16.87,97.18,Damage,Road
17.96,0.86,1.84,86.92,134.16,None,Non-Road
6.23,3.16,28.28,46.35,74.35,Crack,Non-Road
2.94,26.13,18.68,72.97,129.59,Pothole,Non-Road
78.99,7.27,12.56,6.31,119.5,Damage,Road
20.53,6.34,11.38,66.16,111.77,Damage,Non-Road
69.56,0.55,1.23,7.34,157.62,None,Road
14.21,2.43,30.01,69.05,118.52,Crack,Non-Road
13.31,18.18,11.58,48.9,128.23,Pothole,Non-Road
81.9,6.32,14.35,10.22,88.97,Damage,Road
62.95,20.99,15.83,10.12,106.87,Pothole,Road
11.0,25.79,14.72,89.3,115.57,Pothole,Non-Road
78.93,0.64,40.66,13.01,122.97,Crack,Road
70.09,10.9,11.49,14.32,118.95,Damage,Road
73.79,0.83,0.59,13.03,50.54,None,Road
15.94,1.02,1.36,77.05,141.82,None,Non-Road
6.17,17.59,15.01,58.99,80.61,Pothole,Non-Road
56.42,3.06,30.08,7.36,120.43,Crack,Road
55.83,1.12,2.6,6.7,133.3,None,Road
15.06,1.64,3.27,72.16,132.13,None,Non-Road
2.02,8.29,15.21,65.63,80.67,Damage,Non-Road
19.68,1.34,31.49,64.55,129.82,Crack,Non-Road
14.5,6.66,13.38,43.53,146.27,Damage,Non-Road
14.82,1.73,10.62,69.46,183.55,Damage,Non-Road
53.22,8.84,9.71,14.11,127.19,Damage,Road
55.32,1.68,33.45,9.11,158.5,Crack,Road
18.58,20.7,11.92,77.21,128.64,Pothole,Non-Road
70.74,8.41,10.35,4.78,111.43,Damage,Road
64.98,2.01,1.24,6.71,132.86,None,Road
14.85,1.44,38.31,65.51,182.59,Crack,Non-Road
13.26,16.17,15.4,71.29,100.97,Pothole,Non-Road
66.36,21.33,14.24,4.48,151.79,Pothole,Road
78.5,8.95,14.61,12.52,97.52,Damage,Road
10.46,10.36,11.23,66.39,132.88,Damage,Non-Road
79.28,1.77,32.29,8.7,133.0,Crack,Road
66.52,1.89,31.63,9.88,121.93,Crack,Road
72.66,0.97,2.79,10.15,89.43,None,Road
72.85,0.62,0.0,2.12,64.96,None,Road
10.69,12.34,15.75,70.77,169.68,Pothole,Non-Road
80.77,2.05,1.23,8.73,123.57,None,Road
65.81,0.45,1.72,8.98,59.6,None,Road
16.95,3.18,9.93,59.28,116.2,Damage,Non-Road
74.89,0.13,1.45,3.14,106.78,None,Road
78.21,4.11,27.69,9.04,94.43,Crack,Road
73.34,1.35,19.24,11.56,121.91,Crack,Road
10.71,0.58,1.62,59.63,51.68,None,Non-Road
11.4,0.45,3.17,67.9,134.3,None,Non-Road
67.02,1.25,2.44,4.07,94.45,None,Road
58.2,0.99,1.5,13.05,137.1,None,Road
69.37,21.17,13.11,7.8,150.2,Pothole,Road
8.4,0.84,3.67,38.65,106.01,None,Non-Road
79.61,3.34,35.06,5.26,67.14,Crack,Road
14.28,1.77,37.24,85.34,85.88,Crack,Non-Road
66.12,5.83,15.0,9.44,100.8,Damage,Road
74.57,26.08,13.06,4.92,155.91,Pothole,Road
63.15,20.82,10.39,5.78,98.13,Pothole,Road
66.02,2.03,25.84,5.66,141.09,Crack,Road
11.14,23.08,8.24,63.78,65.05,Pothole,Non-Road
75.97,1.69,1.96,6.15,126.99,None,Road
16.75,22.31,12.21,82.87,125.56,Pothole,Non-Road
66.95,25.61,10.37,10.41,93.02,Pothole,Road
15.98,2.65,29.24,65.76,93.86,Crack,Non-Road
21.23,21.34,12.9,68.96,145.68,Pothole,Non-Road
26.3,8.39,10.01,52.0,138.39,Damage,Non-Road
12.88,1.53,2.19,56.21,153.83,None,Non-Road
15.76,8.26,12.52,74.78,147.54,Damage,Non-Road
87.9,1.7,1.61,6.55,98.96,None,Road
73.51,1.1,2.53,10.93,105.8,None,Road
70.99,1.41,0.75,12.42,136.08,None,Road
79.42,9.63,12.16,2.34,84.42,Damage,Road
18.74,0.29,2.08,54.38,80.0,None,Non-Road
20.5,17.43,13.81,75.74,123.92,Pothole,Non-Road
11.6,3.49,36.79,77.17,105.66,Crack,Non-Road
13.12,1.93,0.21,62.73,81.04,None,Non-Road
72.57,0.13,1.44,5.99,56.36,None,Road
63.93,1.46,37.0,14.27,138.78,Crack,Road
70.3,20.52,6.86,6.74,55.11,Pothole,Road
20.93,1.14,33.93,75.24,104.84,Crack,Non-Road
78.42,18.46,14.75,4.01,169.87,Pothole,Road
1.78,1.87,30.73,55.02,136.68,Crack,Non-Road
11.36,6.44,10.52,56.75,63.59,Damage,Non-Road
61.83,2.91,22.59,8.8,110.79,Crack,Road
73.76,1.45,2.54,10.13,138.59,None,Road
6.64,19.0,13.27,52.14,92.81,Pothole,Non-Road
73.59,16.33,14.28,7.37,63.06,Pothole,Road
14.37,7.13,14.61,79.28,61.38,Damage,Non-Road
69.49,8.55,13.54,6.86,109.75,Damage,Road
75.2,1.57,33.67,3.9,105.06,Crack,Road
20.69,2.46,29.96,38.99,124.51,Crack,Non-Road
17.24,1.4,33.62,67.54,69.43,Crack,Non-Road
7.96,0.74,1.57,49.23,138.61,None,Non-Road
7.22,19.93,8.89,79.95,84.19,Pothole,Non-Road
7.02,2.68,32.63,59.05,116.57,Crack,Non-Road
58.57,1.95,24.34,10.68,94.1,Crack,Road
19.01,8.52,13.14,79.87,105.24,Damage,Non-Road
61.72,1.34,2.96,1.92,109.71,None,Road
13.66,19.57,11.94,81.56,84.7,Pothole,Non-Road
2.59,21.69,14.95,60.39,112.95,Pothole,Non-Road
21.32,0.86,1.86,66.83,90.16,None,Non-Road
69.93,6.45,7.8,13.42,131.69,Damage,Road
68.71,23.0,15.83,9.32,100.04,Pothole,Road
9.77,23.01,13.45,63.09,94.17,Pothole,Non-Road
66.11,2.68,31.22,6.06,66.88,Crack,Road
8.29,10.81,17.36,59.57,100.19,Pothole,Non-Road
73.53,1.02,2.13,3.28,107.24,None,Road
57.7,3.25,12.7,2.86,75.25,Damage,Road
70.78,10.25,16.89,8.87,135.29,Damage,Road
0.0,5.43,10.1,79.3,113.14,Damage,Non-Road
10.32,2.68,29.07,51.26,67.75,Crack,Non-Road
83.16,2.05,30.57,11.29,185.77,Crack,Road
60.12,1.3,2.92,5.31,117.33,None,Road
72.74,13.9,10.54,15.67,135.66,Pothole,Road
22.58,1.17,2.03,67.04,95.78,None,Non-Road
11.01,1.05,3.05,66.18,128.03,None,Non-Road
74.87,1.85,2.56,11.02,129.77,None,Road
11.62,21.75,16.45,63.38,66.54,Pothole,Non-Road
71.12,0.76,0.52,7.24,88.26,None,Road
8.61,9.0,13.93,77.19,140.62,Damage,Non-Road
53.61,3.4,30.52,3.83,118.22,Crack,Road
8.87,1.31,0.91,76.5,182.96,None,Non-Road
14.79,1.03,2.77,42.4,128.38,None,Non-Road
10.03,7.69,13.72,80.21,124.68,Damage,Non-Road
65.72,0.99,2.81,7.39,96.37,None,Road
21.53,1.66,20.47,69.43,105.71,Crack,Non-Road
21.08,8.72,11.9,68.57,160.35,Damage,Non-Road
64.15,1.82,29.51,2.89,53.07,Crack,Road
74.41,0.87,1.72,8.37,119.78,None,Road
3.03,0.65,1.29,61.62,95.94,None,Non-Road
81.9,7.61,10.03,12.12,81.48,Damage,Road
12.88,10.87,4.0,44.54,93.23,Damage,Non-Road
55.47,0.8,32.14,7.6,88.27,Crack,Road
68.26,27.02,15.61,11.25,114.0,Pothole,Road
12.38,2.25,27.64,81.28,115.04,Crack,Non-Road
79.09,8.25,7.18,7.24,125.61,Damage,Road
19.7,20.99,17.4,56.73,165.29,Pothole,Non-Road
6.95,18.14,9.84,65.09,160.23,Pothole,Non-Road
8.39,2.48,43.38,92.07,119.08,Crack,Non-Road
11.82,2.48,31.74,72.38,130.08,Crack,Non-Road
63.75,8.84,9.41,13.48,128.65,Damage,Road
69.39,0.28,0.76,10.75,111.66,None,Road
8.69,1.73,1.51,56.83,135.9,None,Non-Road
79.15,16.63,16.11,8.43,115.93,Pothole,Road
9.13,0.0,2.82,46.26,81.94,None,Non-Road
9.39,4.23,15.29,61.09,105.73,Damage,Non-Road
4.71,1.36,31.54,57.39,145.79,Crack,Non-Road
12.74,1.62,29.7,69.09,82.15,Crack,Non-Road
79.29,24.41,19.38,8.31,102.76,Pothole,Road
72.24,21.12,16.19,9.78,104.62,Pothole,Road
8.7,0.8,35.35,46.45,67.4,Crack,Non-Road
63.12,23.95,12.68,7.67,136.8,Pothole,Road
13.81,2.29,3.01,77.31,95.79,None,Non-Road
75.66,15.97,12.98,16.34,116.95,Pothole,Road
8.78,14.62,11.99,77.83,169.88,Pothole,Non-Road
6.87,1.95,33.03,42.14,143.48,Crack,Non-Road
14.6,2.47,33.08,61.11,116.19,Crack,Non-Road
61.13,3.92,25.19,8.97,73.54,Crack,Road
88.94,2.9,28.46,3.59,76.15,Crack,Road
76.44,9.29,10.49,1.49,123.86,Damage,Road
20.22,1.43,1.57,86.37,148.84,None,Non-Road
5.71,0.64,33.62,74.88,97.42,Crack,Non-Road
65.36,1.26,0.79,3.35,86.62,None,Road
76.6,3.78,35.72,0.0,65.17,Crack,Road
64.71,18.17,15.02,5.94,123.69,Pothole,Road
2.34,4.05,13.31,63.04,137.67,Damage,Non-Road
15.48,10.83,7.51,66.52,65.52,Pothole,Non-Road
12.49,2.24,33.64,73.38,95.58,Crack,Non-Road
70.48,1.55,2.09,8.52,96.49,None,Road
20.87,1.12,26.94,58.9,174.08,Crack,Non-Road
56.21,0.22,25.68,5.63,120.54,Crack,Road
82.66,20.52,13.81,6.4,90.21,Pothole,Road
22.73,10.68,10.37,62.2,93.21,Damage,Non-Road
66.99,18.04,5.76,5.76,122.15,Pothole,Road
18.97,0.86,3.0,90.64,180.17,None,Non-Road
61.56,1.02,1.94,7.31,53.41,None,Road
14.44,5.73,7.6,48.96,31.45,Damage,Non-Road
12.07,1.89,34.93,78.46,90.2,Crack,Non-Road
59.19,18.95,12.69,10.74,109.01,Pothole,Road
78.78,3.77,11.59,5.27,89.68,Damage,Road
16.05,1.81,30.59,49.4,104.43,Crack,Non-Road
69.99,29.46,9.68,12.36,103.24,Pothole,Road
20.19,16.6,18.7,82.93,77.05,Pothole,Non-Road
15.1,7.83,11.06,62.19,97.35,Damage,Non-Road
81.31,9.05,9.62,4.85,147.69,Damage,Road
63.99,3.06,34.58,2.79,77.34,Crack,Road
50.55,22.09,13.16,12.35,126.88,Pothole,Road
66.17,1.28,1.86,8.79,110.03,None,Road
56.23,2.52,36.74,7.85,122.85,Crack,Road
64.82,1.07,32.37,7.96,138.79,Crack,Road
78.11,11.5,15.75,6.62,106.24,Pothole,Road
81.24,1.66,1.37,7.65,160.03,None,Road
14.18,19.07,11.27,70.18,69.3,Pothole,Non-Road
75.64,21.18,9.49,11.24,78.66,Pothole,Road
11.66,1.57,1.93,61.72,98.22,None,Non-Road
16.31,15.74,13.87,61.26,81.98,Pothole,Non-Road
85.99,1.0,2.74,11.89,101.16,None,Road
21.09,12.94,7.1,50.3,139.23,Damage,Non-Road
16.69,15.13,10.61,83.65,105.84,Pothole,Non-Road
77.44,2.96,39.62,8.36,126.42,Crack,Road
82.41,16.95,13.08,11.53,114.36,Pothole,Road
23.39,1.74,1.38,75.42,134.25,None,Non-Road
79.67,1.87,2.19,10.0,117.0,None,Road
75.85,3.19,31.38,11.2,147.73,Crack,Road
14.09,2.34,37.23,73.79,171.21,Crack,Non-Road
62.33,0.94,25.64,7.65,88.64,Crack,Road
66.79,0.36,1.37,3.92,126.32,None,Road
67.13,22.97,11.92,7.06,73.96,Pothole,Road
15.4,0.28,2.28,54.26,94.7,None,Non-Road
79.26,2.3,30.77,7.43,112.61,Crack,Road
78.2,7.8,11.88,7.55,109.53,Damage,Road
0.0,5.68,11.03,51.31,113.7,Damage,Non-Road
16.3,3.3,34.27,61.53,126.39,Crack,Non-Road
18.18,7.56,10.65,66.89,112.74,Damage,Non-Road
69.46,1.7,36.96,9.52,89.86,Crack,Road
75.31,0.91,2.97,9.83,54.32,None,Road
60.17,7.56,11.31,8.45,84.87,Damage,Road
19.92,3.01,23.28,58.87,100.79,Crack,Non-Road
22.47,15.85,17.37,64.83,151.07,Pothole,Non-Road
10.32,6.3,7.52,45.47,88.42,Damage,Non-Road
68.98,1.21,0.24,5.45,108.42,None,Road
10.79,11.61,15.83,65.8,142.71,Damage,Non-Road
70.44,8.13,18.05,4.28,131.61,Pothole,Road
74.11,1.18,27.12,11.38,101.58,Crack,Road
15.25,1.1,0.59,58.34,78.38,None,Non-Road
12.18,9.23,9.24,63.42,96.41,Damage,Non-Road
83.77,2.54,31.44,5.2,110.53,Crack,Road
15.13,22.75,11.81,68.29,144.2,Pothole,Non-Road
58.55,13.54,15.12,2.86,114.99,Pothole,Road
63.51,7.6,11.5,7.59,96.69,Damage,Road
9.03,1.3,2.74,62.59,115.64,None,Non-Road
8.94,0.76,1.84,57.9,111.28,None,Non-Road
4.82,7.07,10.54,60.56,182.33,Damage,Non-Road
68.73,1.42,2.74,11.41,55.59,None,Road
63.14,0.9,2.84,4.72,106.75,None,Road
7.48,1.77,1.39,70.61,135.17,None,Non-Road
80.2,1.65,37.22,5.14,132.5,Crack,Road
35.64,2.73,35.91,0.37,87.73,Crack,Road
66.22,1.42,1.38,5.83,75.16,None,Road
75.69,8.27,9.79,2.93,136.04,Damage,Road
12.76,9.89,7.86,65.45,126.64,Damage,Non-Road
78.41,6.99,10.66,8.58,85.05,Damage,Road
54.63,2.6,28.19,10.48,80.97,Crack,Road
11.31,2.03,37.61,74.05,74.11,Crack,Non-Road
9.44,6.31,15.43,81.29,69.45,Damage,Non-Road
6.47,1.15,33.86,66.83,61.36,Crack,Non-Road
65.84,3.62,37.26,8.01,140.6,Crack,Road
13.15,5.72,13.71,82.33,95.77,Damage,Non-Road
58.5,22.31,6.97,6.08,157.79,Pothole,Road
59.9,0.4,1.52,11.65,99.4,None,Road
22.97,18.13,18.1,94.95,100.35,Pothole,Non-Road
1.54,20.37,17.56,60.58,135.29,Pothole,Non-Road
64.24,8.04,15.17,11.75,117.53,Damage,Road
77.69,1.13,2.45,5.49,124.38,None,Road
74.42,7.42,9.97,4.19,132.45,Damage,Road
46.43,0.62,3.11,17.47,62.63,None,Road
87.58,0.93,1.58,9.92,168.69,None,Road
67.9,8.43,15.03,13.7,104.86,Damage,Road
8.13,23.56,12.94,72.42,126.03,Pothole,Non-Road
77.02,8.12,12.98,13.22,146.8,Damage,Road
78.07,1.33,33.15,3.51,121.33,Crack,Road
2.5,0.98,2.3,69.77,93.44,None,Non-Road
76.66,10.73,11.73,14.83,169.67,Damage,Road
81.79,8.63,12.53,7.98,138.22,Damage,Road
17.41,0.26,4.26,50.42,118.11,None,Non-Road
14.47,1.04,3.7,47.77,96.14,None,Non-Road
16.06,1.27,34.14,58.25,164.53,Crack,Non-Road
18.91,10.23,15.51,74.72,121.52,Pothole,Non-Road
11.29,4.46,11.21,58.63,56.11,Damage,Non-Road
11.04,16.65,13.56,64.11,106.17,Pothole,Non-Road
68.41,0.26,2.95,7.8,41.13,None,Road
13.5,2.54,27.16,58.16,62.79,Crack,Non-Road
66.41,1.09,25.92,6.63,162.44,Crack,Road
6.93,20.32,13.35,70.09,168.05,Pothole,Non-Road
12.64,9.35,16.39,60.01,118.49,Damage,Non-Road
77.87,1.85,0.48,11.25,82.47,None,Road
72.31,0.9,1.25,6.31,115.79,None,Road
9.81,15.81,17.7,85.19,85.03,Pothole,Non-Road
5.07,0.98,1.87,66.84,89.03,None,Non-Road
6.07,5.48,10.96,62.41,128.51,Damage,Non-Road
78.05,1.82,23.67,9.06,143.27,Crack,Road
73.78,23.93,19.0,9.02,140.43,Pothole,Road
9.35,18.16,15.75,47.76,68.43,Pothole,Non-Road
0.0,6.45,11.44,59.23,95.11,Damage,Non-Road
18.1,17.66,16.44,79.16,98.8,Pothole,Non-Road
20.37,10.98,7.36,66.7,68.43,Damage,Non-Road
60.46,0.63,1.78,12.78,122.22,None,Road
15.52,1.27,2.2,61.25,88.32,None,Non-Road
72.12,10.23,10.19,8.7,154.01,Damage,Road
80.51,2.41,21.77,6.14,105.35,Crack,Road
63.38,26.97,16.35,7.03,142.32,Pothole,Road
12.57,6.97,14.85,86.43,94.14,Damage,Non-Road
17.52,1.29,24.92,80.2,117.79,Crack,Non-Road
78.78,16.55,16.08,6.08,98.24,Pothole,Road
74.57,2.56,31.96,13.37,110.4,Crack,Road
73.29,8.69,12.4,7.33,98.46,Damage,Road
12.86,8.34,11.41,39.47,106.09,Damage,Non-Road
72.99,11.26,9.55,8.25,105.86,Damage,Road
10.37,6.83,12.18,66.87,66.77,Damage,Non-Road
70.52,0.27,0.46,7.62,123.83,None,Road
6.08,9.69,14.13,71.4,145.83,Damage,Non-Road
66.77,21.69,20.19,4.18,77.97,Pothole,Road
13.34,9.32,5.74,57.01,110.85,Damage,Non-Road
19.44,8.6,7.12,68.05,115.07,Damage,Non-Road
16.88,17.38,12.08,65.58,95.16,Pothole,Non-Road
18.51,8.16,13.29,66.08,156.92,Damage,Non-Road
73.61,6.62,15.43,4.35,69.73,Damage,Road
14.83,16.0,18.9,72.71,93.48,Pothole,Non-Road
70.31,1.15,36.25,8.9,37.79,Crack,Road
81.95,1.11,0.22,9.99,148.75,None,Road
8.58,5.1,9.67,62.17,104.96,Damage,Non-Road
13.03,18.05,13.22,77.65,116.78,Pothole,Non-Road
57.39,1.15,0.87,9.29,105.92,None,Road
4.4,0.59,0.99,80.28,56.73,None,Non-Road
18.39,0.61,2.06,55.39,136.2,None,Non-Road
0.0,1.57,2.63,68.15,120.93,None,Non-Road
10.71,2.1,31.37,72.51,129.36,Crack,Non-Road
16.84,16.43,9.49,52.87,104.23,Pothole,Non-Road
13.26,3.42,25.92,87.75,107.4,Crack,Non-Road
66.33,9.01,8.59,7.98,104.52,Damage,Road
86.17,4.23,31.19,6.48,107.15,Crack,Road
13.74,19.05,16.37,74.75,123.21,Pothole,Non-Road
11.78,4.2,9.24,76.38,104.74,Damage,Non-Road
60.87,6.33,15.63,5.72,135.88,Damage,Road
8.32,6.91,14.83,66.2,85.22,Damage,Non-Road
83.11,8.01,9.67,9.0,112.13,Damage,Road
81.47,5.49,11.18,3.95,96.67,Damage,Road
17.04,1.07,41.11,49.45,54.96,Crack,Non-Road
59.81,3.37,30.82,9.56,119.42,Crack,Road
8.22,18.09,14.76,64.62,96.13,Pothole,Non-Road
14.12,16.91,18.01,76.04,143.18,Pothole,Non-Road
7.07,1.17,1.11,47.69,66.18,None,Non-Road
6.2,1.16,39.59,77.49,98.0,Crack,Non-Road
6.54,2.33,35.24,72.11,86.57,Crack,Non-Road
8.72,1.32,1.88,81.32,124.85,None,Non-Road
9.49,6.56,12.77,56.53,134.76,Damage,Non-Road
72.97,2.45,39.74,5.48,79.63,Crack,Road
11.27,1.95,33.26,79.59,119.59,Crack,Non-Road
9.98,14.04,16.56,73.32,184.73,Pothole,Non-Road
14.05,1.14,2.51,43.1,63.73,None,Non-Road
66.39,21.17,8.36,7.48,62.92,Pothole,Road
67.43,27.65,10.03,7.87,169.51,Pothole,Road
0.0,2.8,34.72,73.32,145.78,Crack,Non-Road
73.11,1.36,28.92,1.38,130.64,Crack,Road
77.58,17.53,11.62,10.7,47.83,Pothole,Road
13.52,7.16,12.13,87.79,103.53,Damage,Non-Road
81.52,8.43,13.06,10.56,54.89,Damage,Road
14.11,9.5,14.54,57.94,101.53,Damage,Non-Road
5.51,2.82,21.72,69.39,111.97,Crack,Non-Road
12.54,10.13,13.76,60.4,193.96,Damage,Non-Road
79.19,1.1,1.86,15.0,121.18,None,Road
14.38,0.42,39.12,55.3,127.48,Crack,Non-Road
63.97,1.74,29.14,2.13,85.01,Crack,Road
75.77,23.56,21.64,8.31,161.37,Pothole,Road
15.32,7.55,7.75,73.03,145.03,Damage,Non-Road
8.0,7.78,11.57,46.41,108.41,Damage,Non-Road
1.2,1.12,1.08,68.15,73.07,None,Non-Road
83.44,1.02,0.89,11.08,109.95,None,Road
11.62,25.64,13.13,55.67,134.99,Pothole,Non-Road
5.05,3.27,16.47,91.6,63.49,Damage,Non-Road
10.85,1.53,2.21,48.61,133.05,None,Non-Road
6.43,22.67,13.95,85.41,118.13,Pothole,Non-Road
58.94,1.88,39.15,12.49,96.54,Crack,Road
68.06,25.2,7.09,5.64,147.11,Pothole,Road
63.42,0.87,31.75,2.05,120.49,Crack,Road
13.79,1.6,1.55,63.94,122.55,None,Non-Road
13.82,1.89,27.62,71.64,70.72,Crack,Non-Road
65.05,16.52,18.2,5.23,130.4,Pothole,Road
8.07,10.66,11.42,60.89,110.86,Damage,Non-Road
5.13,19.32,15.87,57.4,110.25,Pothole,Non-Road
11.66,2.62,22.6,51.01,123.66,Crack,Non-Road
75.04,3.28,29.58,2.72,111.73,Crack,Road
0.18,6.1,10.1,62.73,68.37,Damage,Non-Road
57.78,20.51,11.05,3.78,86.22,Pothole,Road
10.5,0.74,2.65,77.01,118.12,None,Non-Road
73.68,3.15,33.91,9.37,102.66,Crack,Road
3.22,1.74,14.33,52.94,121.12,Crack,Non-Road
71.74,0.11,0.86,10.28,124.66,None,Road
1.09,2.39,2.24,71.2,88.11,None,Non-Road
61.78,13.4,15.25,7.44,104.92,Pothole,Road
4.31,10.94,13.7,57.4,134.21,Damage,Non-Road
60.32,17.03,12.34,12.6,129.03,Pothole,Road
15.45,0.79,2.63,53.37,87.6,None,Non-Road
74.15,6.62,15.73,10.4,49.04,Damage,Road
50.2,0.32,37.5,3.35,116.47,Crack,Road
70.37,1.0,1.23,9.37,127.75,None,Road
71.81,0.86,30.74,10.13,50.79,Crack,Road
9.47,1.36,2.11,64.26,81.32,None,Non-Road
8.99,0.71,0.97,57.64,134.76,None,Non-Road
10.33,4.31,15.87,69.8,149.15,Damage,Non-Road
13.7,9.25,17.19,47.84,53.19,Damage,Non-Road
7.02,23.8,19.11,65.98,61.01,Pothole,Non-Road
12.88,7.21,10.38,56.19,69.37,Damage,Non-Road
19.8,1.44,3.33,68.08,169.48,None,Non-Road
67.9,23.36,13.55,6.05,89.03,Pothole,Road
67.63,0.0,3.94,3.92,189.76,None,Road
7.74,0.59,1.91,66.98,100.81,None,Non-Road
74.64,20.78,12.94,9.3,120.15,Pothole,Road
7.82,0.87,1.14,80.38,80.54,None,Non-Road
25.11,6.28,13.81,74.2,83.68,Damage,Non-Road
65.25,0.0,35.07,6.88,70.69,Crack,Road
84.56,1.34,2.7,8.2,144.0,None,Road
13.53,1.26,2.22,53.82,119.26,None,Non-Road
76.36,0.48,3.66,5.16,81.01,None,Road
7.57,18.53,12.44,77.45,119.62,Pothole,Non-Road
16.5,1.24,0.0,52.12,106.49,None,Non-Road
13.51,2.95,28.86,71.64,125.16,Crack,Non-Road
12.77,11.35,17.38,65.4,84.99,Pothole,Non-Road
1.94,3.54,19.83,51.91,129.05,Damage,Non-Road
68.74,26.66,11.43,5.43,111.07,Pothole,Road
1.53,1.19,1.75,63.14,74.34,None,Non-Road
75.39,2.0,28.73,9.0,66.63,Crack,Road
17.26,17.58,17.02,67.36,108.01,Pothole,Non-Road
18.22,0.62,1.76,92.05,157.83,None,Non-Road
67.38,1.11,2.52,13.57,68.08,None,Road
65.8,25.18,10.68,9.97,99.03,Pothole,Road
16.93,1.18,33.2,77.35,155.63,Crack,Non-Road
62.97,2.92,30.35,2.02,97.89,Crack,Road
21.37,9.37,11.62,52.56,149.36,Damage,Non-Road
6.32,24.46,12.71,72.31,99.97,Pothole,Non-Road
63.21,0.4,2.62,6.36,91.36,None,Road
8.89,23.86,10.69,64.31,141.07,Pothole,Non-Road
81.58,1.95,37.46,8.09,87.27,Crack,Road
76.35,1.37,31.8,0.0,87.15,Crack,Road
73.37,17.53,12.33,11.36,77.0,Pothole,Road
60.1,12.2,11.98,2.59,100.66,Damage,Road
12.04,5.94,13.83,78.32,57.36,Damage,Non-Road
68.64,0.07,2.04,14.51,102.48,None,Road
76.34,12.56,16.97,6.06,81.92,Pothole,Road
8.6,7.67,17.63,68.73,151.82,Damage,Non-Road
71.44,1.9,24.87,13.24,111.35,Crack,Road
8.47,10.99,12.58,74.37,121.46,Damage,Non-Road
65.3,3.16,38.99,13.47,134.05,Crack,Road
61.95,0.3,36.06,10.73,123.49,Crack,Road
20.07,1.85,33.68,64.42,139.43,Crack,Non-Road
4.82,2.29,33.68,60.24,119.52,Crack,Non-Road
73.48,0.4,3.19,9.67,122.83,None,Road
22.12,1.75,1.7,72.14,73.62,None,Non-Road
78.44,19.94,17.2,7.91,138.84,Pothole,Road
74.81,19.83,12.99,0.5,90.36,Pothole,Road
12.02,6.8,14.61,68.76,88.66,Damage,Non-Road
72.08,10.27,13.36,6.24,84.29,Damage,Road
71.65,1.82,24.73,5.67,141.22,Crack,Road
19.46,0.91,1.64,66.16,71.89,None,Non-Road
0.0,1.17,0.12,62.54,91.06,None,Non-Road
19.12,9.74,6.68,72.79,136.57,Damage,Non-Road
12.4,0.0,27.79,67.7,74.36,Crack,Non-Road
18.16,10.67,14.57,88.95,110.43,Damage,Non-Road
78.59,8.87,11.32,5.51,127.61,Damage,Road
77.96,13.45,8.64,14.81,91.34,Pothole,Road
70.89,1.46,30.38,5.56,120.85,Crack,Road
4.63,18.01,20.36,67.06,83.28,Pothole,Non-Road
69.68,3.59,44.12,8.77,104.46,Crack,Road
20.3,17.74,11.89,66.85,112.58,Pothole,Non-Road
14.7,7.73,12.94,70.09,89.85,Damage,Non-Road
0.16,1.4,30.15,81.97,110.49,Crack,Non-Road
74.81,9.19,18.49,3.52,93.95,Damage,Road
9.98,9.68,15.52,54.46,86.43,Damage,Non-Road
65.95,19.1,17.23,3.47,109.87,Pothole,Road
